id,name,address,latitude,longitude,totalSpaces,pricePerHour,city,facilities,publicTransport,operatingHours,contactPhone,notes,isActive,createdAt,updatedAt
2,"FU Berlin","Otto-von-Simson-Straße 12, Dahlem, 14195 Berlin, Deutschland",52.454143,13.289695,0,,Berlin,"P+R服务,公交连接","","24小时","","",1,"2025-12-01 20:52:16","2025-12-01 20:52:16"
9,"FU Berlin","Otto-von-Simson-Straße 12, Dahlem, 14195 Berlin, Deutschland",52.454143,13.289695,0,,Berlin,"P+R服务,公交连接","","24小时","","",1,"2025-11-15 00:56:07","2025-11-15 00:56:07"
107,"P+R Alt-Mariendorf (U)","Reißeckstraße 14, 12107 Berlin",52.4396399712577,13.3897717130022,130,,Berlin,"",U6,24h,"","",1,"2026-01-11 20:53:08","2026-01-11 20:53:30"
108,"P+R Altglienicke (S)","Parkplatz, Parking lot, Paradiesstraße 256, 12526 Berlin",52.4055575346139,13.5580676577839,271,,Berlin,"","S45, S9",24h,"","",1,"2026-01-11 20:53:08","2026-01-11 20:53:30"
109,"P+R Biesdorf (S)","Wuhlgartenweg, 12683 Berlin",52.5136539270686,13.5570975614842,40,,Berlin,"",S5,24h,"","",1,"2026-01-11 20:53:08","2026-01-11 20:53:30"
110,"P+R Blankenburg (S)","Bahnhofstraße 1, 13129 Berlin",52.5912271550065,13.443615507513,17,,Berlin,"","S2, S26, S8",24h,"","",1,"2026-01-11 20:53:08","2026-01-11 20:53:30"
111,"P+R Breitenbachplatz (U)","Schildhornstraße 46, 12163 Berlin",52.4668216402247,13.3108322214083,128,,Berlin,"",U3,24h,"","",1,"2026-01-11 20:53:08","2026-01-11 20:53:30"
112,"P+R Buch (S)","Wiltbergstraße 23, 13125 Berlin",52.6352754726507,13.4934090568913,289,,Berlin,"",S2,24h,"","",1,"2026-01-11 20:53:08","2026-01-11 20:53:30"
113,"P+R Bundesplatz (S+U)","Bernhardstraße 13, 10715 Berlin",52.4782192641568,13.33029648337,83,,Berlin,"","S41, S42, S46, U9",24h,"","Pay before 8 PM on weekdays for €2 per hour.",1,"2026-01-11 20:53:08","2026-01-11 20:53:30"
114,"P+R Eichborndamm (S)","Breitenbachstraße, 13509 Berlin",52.5779702563416,13.3151393331241,31,,Berlin,"",S25,24h,"","",1,"2026-01-11 20:53:08","2026-01-11 20:53:30"
115,"P+R Elsterwerdaer Platz (U)","Apollofalterallee 104, 12683 Berlin",52.5044002549233,13.5632900409805,208,,Berlin,"",U5,24h,"","",1,"2026-01-11 20:53:08","2026-01-11 20:53:30"
116,"P+R Friedrichshagen (S)","Schöneicher Str. 1, 12587 Berlin",52.4580819254727,13.6275499498416,83,,Berlin,"","RE1, S3",24h,"","Sunday: Flea market unavailable",1,"2026-01-11 20:53:08","2026-01-11 20:53:30"
117,"P+R Grünau (S)","Adlergestell 552, 12527 Berlin",52.4127216730412,13.5756831400491,193,,Berlin,"","S46, S8, S85",24h,"","",1,"2026-01-11 20:53:08","2026-01-11 20:53:30"
118,"P+R Heidelberger Platz (S+U)","Rudolstädter Str. 1, 10713 Berlin",52.4811489804078,13.3122680509205,139,,Berlin,"","S41, S42, S46, U3",24h,"","",1,"2026-01-11 20:53:08","2026-01-11 20:53:30"
